NO	TICKER	WEBSITE	TWITTER	SPO Group in adapools.org?	POOL ID
18	AVOC	https://adapools.org/pool/pool.numic.eu	@avocadopool	yes	5df46b9796868647647f6d3a4ebd188920e70cd12720513337203b62
19	BEAR 	https://adapools.org/pool/poolbear.io	@epochpool	yes	d75510f36a80dd436ed69b1c76af0724c1969a2ece377ee322ae2e36
20	BFADA 	https://bonafideada.com/	@i_amshaunak	yes	4f345190f6280c907325bcd11f9b00f222f092c889f6bedfb739abb1
21	BHMT	https://www.behemothpool.com/	@behemothpool	yes	052f4ae6c6f39c00a45e390ed0849fd719e1848c60cf3ba6b985635e
22	BIO	https://pool.bio/	@bio_pool	yes	603749d1b47c79cdf3072c284abb9810dd98afe827d6ae2b92f115ed
23	BLOC1				not found
24	BLOCK	https://kblocks.net/	@kblocks_ada	yes	c63dab6d780a74cbae2a27696c9723f55b3092b2bd001256df03827f
25	BN1AU 	https://brisnode-cardano.org/	@brisnodeau	yes	acc4bd79e795648e5134ec8c80bc2d486aa9007de6e87a348a1f98ba
26	BSP	https://brothershipool.org/	@brothershippool	yes	89eba2781e5cd11ccda6be56503702a39e9941e522f04cd5bba22957
27	BUFFY	https://crypto2099.io/	@adapoolbuffy	yes	000022b3f0b748a43239c5024c58f852c05593cd0a77a798f0bb3a14
28	CDNC	https://www.cdncardano.com/	@cdncardano	yes	22531954c0bef931e312836efe14061ba1e33417ea246a7c165dbee9
29	CHRTY	https://charity-pool.ro/	@chrtypool	yes	00333b89543da962cc92e7ffa45848f42a98f7276780670728ce5256
30	DAD 	https://www.dadstakes.com/	@dadstakes	yes	dad893073815ca8b225554a2fc5048e366bd65938551323fc13cf7f5
31	DCT 	https://decentrapool.webnode.cz/	@dctpool	yes	a5b9e7d6d3cec51a20e0eb0527acd590fe5af81028b1a5bd89fdff2d
32	DEAD	https://www.deadpoolcrypto.com/	@ada_angels	yes	59d12b7a426724961607014aacea1e584f3ebc1196948f42a10893bc
33	DEEP	https://www.deependpool.net/	@applerusted	yes	8e8af8edf6ea15ddfd1d5103811dd34f9b4a28082517a6094107c5c0
34	DEGAS 	https://degas-pool.com/	@degas_stakepool	yes	4159a9cc7339bd2c495ad83239c2f1b97c8d2097eed6b120e08948c9
35	DIGI 	https://digitalfortress.online/	@richardmccrackn	no	1b268f4cba3faa7e36d8a0cc4adca2096fb856119412ee7330f692b5
36	DOC	https://docstakepool.carrd.co/	@docstakepool	yes	9084ebeb011e610e695068a74fa883dac5eda55faca77107b5f40064
37	ECO	http://ecopool.io/	@ecopool_io	yes	72de14d78a359617a7dd0b33c5554ed4edbafd768ece87c4bf672ee0
38	ELITE	https://elitestakepool.com/	@elitestakepool	no	03ba735795ea8294bccd63efd305168ac8367e9d6fd5f0a6225e12b0
39	EQL	https://equalstake.net/	@equalstake	yes	6d58efe7a29e73d15386017e17ef4d49a377be5df69a2ee0e3a9c10d
40	ESP	https://everestada.com/	@everest_ada	yes	6f365275ed3b789fc7bf4d4d0b769dc70117542aee93ca328f94ee53
41	FRNTR	https://frontierpool.com/	@poolfrontier	yes	ad9a5fae28836eca9e4575588c712e7accd608b1519d72b7a1b058ac
42	FRUIT	https://phlovers.org/fruit	@dfruitpool	yes	afc65ca69d52a68a1b1c50ee1b5b07d72890aaa3a2272d5d9391b706
43	GMBL 	https://gimbalabs.com/	@gimbalabs	yes	dddce8834df02109524aeb5afa0fd820fc29920eca91a63551ecc26a
44	GOSLO	https://testernode.github.io/testingpoolada/	@goslopool	yes	50ec1c61547baef8efd5fb3a0bce4759cbcdf72a62948022834d7cf2
45	GREEN	https://greenstakepool.com/	@gr88ncardano	yes	34a89f77c5fcf0563d129bde9b255f20b269a2dda1561c65d418ec40
46	GULAS 	https://adacoin.hu/	@gulas_pool	yes	926a9ad87449ee8782926ce1ee07f6e718ca82d974d86d41b0dc7111
47	HELAS 	https://elladapool.online/		yes	f765c73fa3700f6fa735310ebc0255265613db23fd7bb14e8d84e795
48	HEX 	https://twitter.com/HexadecimalPool	@hexadecimalpool	yes	ad91e2a62ca7c09606995819b26b65b70419b4ef7531fad403f9d61e
49	ICRYP	https://icryp.net/	@icryp	yes	2671702f26f947ecc114861c4983bfdc8616d3fa2bace18dd4a91e65
50	ISR 	https://www.cardano-israel.com/	@israelicardano	yes	5121819e5114235cb8c377ecf0a9d4e311898c447043e3b5b2848f63
51	JED	https://adapool.jed.id.au/	@jstakepool	yes	df2c28671a7d2e9b29703547533543926445f3a70f119a07af41d434
52	JERRY				retired
53	JOKER	https://twitter.com/cardanojoker	@cardanojoker	yes	d03dfd66fa5560fa43c8fc524f76299d05102f6a297e2fba2bfa5b9a
54	KAWAN 	https://kawancardano.com/	@kawanuap	yes	40c5a505a4276c94e49b848c1b0aa62c4ea244574f4e2e28ebb29210
55	KOALA	https://koalapool.org/	@koala_steve	yes	9138b6f09e8e69c29fdee4e11b147b7ad351aab23fc73a9976907f10
56	KOKO1	https://www.kokostaking.com/		yes	094e012c0a5fbdc3958c80fab86e063df85d51d59f8d3ca280e790b4
57	KOPI	https://kopipool.com/	@cardanosg	no	fb4b7b76ea6d857f442cb9569d186f328fc846bb83222c3150ec3346
58	KURD 	https://kurdopia.store/	@kurdopia	yes	f9f646eb4b04adea5afee58b63cc9f53e0da82118c2ab10a6557b922
59	LACE 	https://lacepool.com/	@lacepool_com	yes	c04742e0e70c0f52950b465038ef97c7c7e6fe71a20bd88c1b655b63
60	LGBTQ 	https://lgbtqpool.com/	@lgbtqstakepool	yes	fc0ef418b0cce20c7a1ac7b8aec9dabd8e9e83b3fcb88c228b4f2c1d
61	LIMON	https://lemon-pool.com/	@leo_delegator	yes	2dd26a3b9dd2372c8c483c730d2a47a6f51e51c06b4a9c248f6dd3ac
62	LOFI	https://lofipool.com/	@lofistakepool	yes	b1f66fdf23c559b4d8a1d9a0f1d95e06f918008f441b8b550e6f054f
63	LORDB	http://lordb.rocks/	@lordb_rocks	yes	c95617e76c620b0c55b02deb3bbac70067a3e8a074fb05008ee17215
64	LSS 	https://longshortsignal.com/cardanopool	@lss_cardanopool	yes	4d470d31f80c01d797996b43abdfe7339ae5b408fb31cc655a80ccd7
65	MEME	https://meme.best/	@meme_pool	yes	c9aa8e864d5cc292f0e93669a79b41d67f8ea62481a0d85b14bea386
66	MMA 	https://mma-stakepool.github.io/	@mma_stake_pool	yes	f1ae552b032c2d87a416f4067eaf4636b3fe5e80230a1f63aa33f6bc
